Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,"Call No",Category,Subject,Type,Description,Tags,Series
"Sejarah dan Prinsip Konservasi Arsitektural Bangunan Cagar Budaya Kolonial",,,,,"Institut Konservasi ERMIT",,2014,,,9786028011662,,D2,,,Book,,,
"Sejarah dan Prinsip Konservasi Arsitektural Bangunan Cagar Budaya Kolonial","A. Kriswandhono ; Nurtjahja Eka Pradana",,,,"Institut Konservasi ERMIT",,2014,,,,,D2,,,Book,,,
"Sejarah Dunia dalam 10½ Bab","Julian Barnes",,,,"Kepustakaan Populer Gramedia",,2009,,,9789799101594,,C2,,,Book,,,
"Sejarah Filsafat Yunani","Dr. K. Bertens",,,,"Penerbitan Yayasan Kanisius",,1975,,,,,B1,,,Book,,,
"Sejarah Kecil ""Petit Histoire"" Indonesia",,,,,"Penerbit Buku Kompas",,2004,,9797091414,,,B1,,,Book,,,
"Sejarah Kecil ""Petit Histoire"" Indonesia","Rosihan Anwar",,,,"Penerbit Buku Kompas",,2004,,,9789797091415,,B1,,,Book,,,
"Sejarah Para Pembesar Mengatur Batavia","Mona Lohanda",,,,"Masup Jakarta",,2007,,,9789792572957,,F2,,,Book,,,
"Sejarah Prancis (Indonesian Edition)","Jean Carpentier",,,,"Kepustakaan Populer Gramedia",,2014,,9799103479,9789799103475,,,Unknown,,Book,"Sinopsis: SEJARAH PRANCIS DALAM BAHASA INDONESIA. Dalam 32 bab singkat, buku yang ditulis oleh tim sejarawan profesional ini menampilkan sebuah ringkasan yang mendalam, lugas, dan sederhana tentang sejarah Prancis sejak zaman Prasejarah hingga akhir abad ke-20. Dengan jernih dan akurat, para penulis menguraikan berbagai momen sejarah yang berbeda, dan diletakkan dalam konteks yang lebih luas daripada sejarah Eropa. Disusun secara kronologis, buku ini juga mencakup berbagai bidang lain, mulai dari sejarah ekonomi hingga sejarah mentalitas. Uraian tersebut dilengkapi dengan ilustrasi berupa dokumen atau cuplikan dokumen yang disajikan pada akhir setiap bab. Terdapat pula tabel, silsilah, dan daftar istilah yang melengkapi dokumentasi buku sejarah  Prancis ini, yang pertama kali diterjemahkan ke dalam bahasa Indonesia. Buku ini sangat penting sebagai bahan rujukan bagi siapa pun yang berminat mendalami sejarah Prancis. (http://penerbitkpg.com/bukubaru/detil/901110441/Sejarah-Prancis) - from Amzon",,
"Sejarah Tolaki di Konawe",,,,,TERAS,,2011,,,9784069783288,,H1,,,Book,,,
"Sekilas Mengenai Daerah Banjar dan Kebudayaan Sungainya Sampai Dengan Abad ke-19",,,,,"Museum Negeri Lambung Mangkurat",,1984,,,,,B2,"Urbanism, Indonesian City",,Book,,,
"Selamatkan Gerakan Zakat: Catatan-catatan Kritis atas UU No. 23 Tahun 3011 tentang Pengelolaan Zakat","Heru Susetyo",,"Arif R. Haryono; Yugha Erlangga",,"Koalisi Masyarakat Zakat (KOMAZ)",,2012,,,9789793040196,,C1,,,Book,,,
"Selamatkan Teluk Jakarta","Koalisi Pakar Interdisiplin",,,,"Koalisi Selamatkan Teluk Jakarta",1,2017,,,,,E1,"Social Activism",,Book,,,
Semarang,"Bouke Billiet; Candra Dewi Dian Puspitasari; Dadang Pribadi; Gustaaf Peek; Triyanto Triwikromo; Tubagus P. Svarajati",,,,citybooks,,2013,,,,,E2,,,Book,,,
"Semarang Tempo Dulu; Teori Desain Kawasan Bersejarah",Wijanarka,,,,"Penerbit Ombak",1,2007,,,9789793472713,,F3,History,,Book,,,
"Semarang. Towards the world heritage city. 2020",,,,,"Boards of Old Town Management ",,,,,,,,"Philosophy, History",,Publication,,,
"Seni di Ruang Publik, Monumen & Tata Kota",,,"Sukri Abdurrachman",,"LIPI Press",,2007,,,9789797992064,,E2,,,Book,,,
"Seni Rupa, Perubahan, Politik","FX Harsono",,,,"Langgeng Gallery",1,2009,,,9789799750143,,K1,Art,,Book,,,
"Sensible High DenCity: Megacity Design Studio Indonesia-Japan 2011","Research Project: Megacities and the Global Environment (RIHN)",,,,"Research Institute for Humanity and Nature",,2011,,,,,I3,,,Book,,,
"Seorang Pendidik dan Arsitek: Markus I. Aditjipto",,,,,"Jurusan Arsitektur Fakultas Teknik Sipil dan Perencanaan Universitas Kristen Petra",,2009,,,9789799697493,,J1,,,Book,,,
"Seperti Puing",,,,,"Lembaga Bantuan Hukum (LBH) Jakarta",,2017,,,9786021756270,,A1,"Urbanism, Indonesian City",,Book,,"penggusuran, jakarta",
"Sepuluh pelajaran untuk wartawan","Nur Zain Hae; Darpan Ariawinangun; Dicky Lopulalan; Hawe Setiawan; Pax Benedanto",,,,"LSPP & UNESCO","Cet. 1",2017,,9799381118,9789799381118,,B2,Unknown,,Book,"Manual for Indonesian journalists. - from Amzon",,
"Set Your Sail to the Wind. Sail Selat Karimata 2016. The Genuine Experience","Deny Sofian; Veny Hartinie",,,,"Kayong Utara Culture and Tourism Board",,2016,,,,,G1,,,Book,,,
"Setani: Old and New in the Land of Clear Water",,,"Hartoyo Pratiknyo",,"The Jakarta Post",,1995,,9798519000,9789798519000,,L2,Geography,,Book,"Large format hardcover. - from Amzon",,
"Seven Habits of Highly Effective People: Restoring the Character Ethic","Stephen R. Covey",,,,"Simon & Schuster",1st,1989,,0671663984,9780671663988,,B1,Unknown,,Book,"A leading management consultant outlines seven organizational rules for improving effectiveness and increasing productivity at work and at home - from Amzon","Success, Motivation & Self-Improvement, Workplace Culture, Leadership, Management, Motivational, Processes & Infrastructure",
"Sharing Cities: A Case for Truly Smart and Sustainable Cities (Urban and Industrial Environments)","Duncan McLaren; Julian Agyeman",,,,"The MIT Press",1,2015,,0262029723,9780262029728,,D1,Unknown,,Book,"<p><b>How cities can build on the ""sharing economy"" and smart technology to deliver a ""sharing paradigm"" that supports justice, solidarity, and sustainability.</b></p><p>The future of humanity is urban, and the nature of urban space enables, and necessitates, sharing -- of resources, goods and services, experiences. Yet traditional forms of sharing have been undermined in modern cities by social fragmentation and commercialization of the public realm. In <i> Sharing Cities</i>, Duncan McLaren and Julian Agyeman argue that the intersection of cities' highly networked physical space with new digital technologies and new mediated forms of sharing offers cities the opportunity to connect smart technology to justice, solidarity, and sustainability. McLaren and Agyeman explore the opportunities and risks for sustainability, solidarity, and justice in the changing nature of sharing. </p><p>McLaren and Agyeman propose a new ""sharing paradigm,"" which goes beyond the faddish ""sharing economy"" -- seen in such ventures as Uber and TaskRabbit -- to envision models of sharing that are not always commercial but also communal, encouraging trust and collaboration. Detailed case studies of San Francisco, Seoul, Copenhagen, Medellín, Amsterdam, and Bengaluru (formerly Bangalore) contextualize the authors' discussions of collaborative consumption and production; the shared public realm, both physical and virtual; the design of sharing to enhance equity and justice; and the prospects for scaling up the sharing paradigm though city governance. They show how sharing could shift values and norms, enable civic engagement and political activism, and rebuild a shared urban commons. Their case for sharing and solidarity offers a powerful alternative for urban futures to conventional ""race-to-the-bottom"" narratives of competition, enclosure, and division. </p> - from Amzon","Environmental Economics, Sustainable Development, Environmental, Environmental Science, Urban Planning & Development, Urban, City Planning & Urban Development",
"Si Miskin (tidak lagi) Dilarang Sakit dan Sekolah","Tim FAKTA",,,,"Forum Warga Kota Jakarta (FAKTA)",,2011,,,9789799852557,,B2,,,Book,,,
"Siak Sri Indirapura","Marco Kusumawijaya; Sapardi Djoko Damono",,,,Lontar,1,2005,,9299958862,,,F2,History,,Book,,"Place, Riau, Malay",
"Siak Sri Indrapura","Sapardi Djoko Damono; Marco Kusumawijaya",,,,"Lontar Foundation",,2007,,9799985870,,,E2,,,Book,,,
Siddhartha,"Hermann HESSE",,,,"Pan Books",,1973,,0330234811,9780330234818,,Rare,Unknown,,Book,"Siddhartha, the son of Brahmin, finds the Buddah, but is not content to serve simply as a disciple : he needs to work out his destiny for himself. He follows a tortuous road that leads him through a sensual love affair with a beautiful courtesan, the temptation of success and riches, and an emotional conflict with his own son, to final renunciation and self-knowledge - from Amzon",,
"SIEGE OF THE SPIRITS Community and Polity in Bangkok",,,,,"The University of Chicago Press",,2016,,022633161x,9780226331614,,,"Philosophy, History",,Book,,,
"Sistem Analisis Kalimat untuk TOEFL dalam Tata Bahasa Inggris","Anies M. Basalamah",,,,"PT Rineka Cipta",,1994,,9795185861,,,B1,,,Book,,,
"Sistem Polder & Tanggul Laut",Sawarendro,,,,"Indonesian Land Reclamation & Water Management Institute (ILWI)",,2010,,,9786029807707,,G2,,,Book,,,
"Site Planning, Third Edition","Kevin Lynch; Gary Hack",,,,"The MIT Press",3rd,1984,,0262121069,9780262121064,,J2,Unknown,,Book,"<p>This new edition of Kevin Lynch's widely used introductory textbook has been completely revised; and is also enriched by the experience of Lynch's coauthor, Gary Hack. For over two decades, <i>Site Planning</i> has remained the only comprehensive source of information on all the principal activities and concerns of arranging the outdoor physical environment. Now, new illustrations double the visual material and one hundred pages of new appendixes cover special techniques, provide references to more detailed technical sources, and put numerical standards in a concise form. </p><p>An introduction summarizes the site planning process. This is followed by a case study of a typical professional project and ten chapters which provide new materials on user analysis, programming, site planning for built places, housing tenures and their planning implications, cost estimating, mapping, the reading of air photographs, site design for housing in developing countries, design strategies, environmental impact analyses, and many others -- all illustrated with in-text photographs and line drawings and with Lynch's characteristic marginal sketches. </p> - from Amzon","Urban & Land Use Planning, Structural, Architecture, Architecture",
"Sitor Situmorang","Situmorang, Sitor",,,,"Komunitas Bambu",,,,9793731095,9789793731094,,,Unknown,,Book,,,
"Sitor Situmorang. Kumpulan Sajak 1948-1979","Sitor Situmorang",,"J.J. Rizal",,"Komunitas Bambu",,2006,,,,,B1,,,Book,,,
"Sitor Situmorang. Kumpulan Sajak 1980-1005","Sitor Situmorang",,"J.J. Rizal",,"Komunitas Bambu",,2006,,9793731109,,,B1,,,Book,,,
"sixteen Chinese museums Fifteen Chinese Architects",,,,,"Kristin Feireiss, Hans-Jurgen Commerrell","Exhibition as Part of The ANCB-Program: The Museum of The 21st Century Content-Form-Impact",2016,,,,,G3,Architecture,,Publication,,,
"Sketsa Kota Tua Jakarta","X Ling",,,,,1,2006,,,,,L2,Art,,Book,,,
"Slum upgrading: Lessons learned from Brazil",,,"Fernanda Magalhães; Francesco di Villarosa",,"Inter-American Development Bank",,2012,,,9781597821636,,E2,,,Book,,,
"Small, Medium, Large, Extra Large: O.M.A., Rem Koolhaas and Bruce Mau","Rem Koolhaas; Bruce Mau",,,,"010 Uitgeverij",,1995,,9064502102,9789064502101,,,Unknown,,Book,"Hard cover with silver leather cover. Extremely hard to find, 1,341 pages, fully illustrated. - from Amzon","Individual Architects & Firms, Criticism, History",
"Smart City the Next Generation Focus Southeast Asia",,,"Ulla Giesler",,,1,2013,,,9783943615128,,F3,Urbanism,,Book,,,
"Social and environmental impact of logging: Investigation of sustainability claims of the Asia Pulp and Paper/Sinar Mas Group","Leonie van der Maesen",,,,"Friends of The Earth Australia",,2011,,,,,H2,,,Publication,,,
"Social Sustainability in Historical Districts",,,,,"United Nations Education, Scientific and Cultural Organization",,2005,,,,,F1,,,Publication,,,
"Social Sustainability in Historical Districts",,,,,UNESCO,,,,,,,F1,Urbanism,,Book,,,
"Society of the Query Reader: Reflections on Web Search","Miriam Rasch; Rene Kanig",,,,"Instituut voor Netwerkcultuur",,2014,,9081857584,9789081857581,,B1,Unknown,,Book,"Looking up something online is one of the most common applications of the web. Whether with a laptop or smartphone, we search the web from wherever we are, at any given moment. 'Googling' has become so entwined in our daily routines that we rarely question it. However, search engines such as Google or Bing determine what part of the web we get to see, shaping our knowledge and perceptions of the world. But there is a world beyond Google - geographically, culturally, and technologically.   The Society of the Query network was founded in 2009 to delve into the larger societal and cultural consequences that are triggered by search technology. In this Reader, which is published after two conferences held in Amsterdam in 2009 and 2013, twenty authors - new media scholars, historians, computer scientists, and artists - try to answer a number of pressing questions about online search. - from Amzon",,
"Soe Hok Gie: catatan seorang demonstran",,,,,LP3ES,,2011,,,9789793330333,,C2,,,Book,,,
"Soe Hok Gie: Pergulatan Intelektual Muda Melawan Tirani","John Maxwell",,,,"Pustaka Utama Grafiti",,2001,,9794444227,,,H1,,,Book,,,
"Soegija 100% Indonesia",,,,,"Kepustakaan Populer Gramedia",1,2002,,,9789799104540,,Marco's,Biography,,Book,,,
"Soegija 100% Indonesia","Ayu Utami",,,,"Kepustakaan Populer Gramedia",1,2002,,,,,K2,Biography,,Book,,,
"Sosialisme Sekarang Juga","Michael A. Lebowitz",,,,"Resist Book",,2009,,,9799791097666,,C1,,,Book,,,
"SPECTRUM ASIA: Infrastructure Mania",,,,,AECOM,,2011,,,,,G3,Architecture,,Publication,,,
"SPEED: Smart Power for Environmentally-Sound Economic Development",,,,,,,,,,,,G3,Urbanism,,Publication,,,"An Agenda for Action"
"Spiritual Intelligence: The Ultimate Intelligence","Danah Zohar; I. Mitchell",,,,"Bloomsbury Publishing PLC",,1999,,0747546762,9780747546764,,G1,Unknown,,Book,"At the beginning of the twentieth century, as psychologists discovered ways and means to measure intelligence, Aristotle's definition of man as ""a rational animal"" developed into an obsession with IQ. In the mid-1990s, Daniel Goleman popularized research into emotional intelligence, EQ, pointing out that EQ is a basic requirement for the appropriate use of IQ. There is enough collective evidence from psychology, neurology, anthropology and cognitiv science to hsow us that there is a third ""Q"", ""SQ"" or Spiritual Intelligence. Unlike IQ, which computers have and EQ which exists in higher mammals, SQ is uniquely human and, the author argues, the most fundamental of the three. It is linked to humanity's need for meaning, an issue very much at the forefront of people's minds as the century draws to a close. SQ is what we use to develop our longing and capacity for meaning, vision and value. It allows us to dream and to strive. - from Amzon","Personal Transformation, Religion & Spirituality, Humanism",
"Srihadi Soedarsono & Chua Ek Kay: Drawing Ground","Srihadi Soedarsono",,,,,,,,,,,I2,Art,,Book,,,
"Srihadi Soedarsono: Timeless Space",,,,,,,,,,,,I2,Art,,Publication,,,
"Srihadi Soedarsono: Tracing Horizons","Srihadi Soedarsono",,,,"Singapore Tyler Print Institute",1,2005,,9810528760,,,I2,Art,,Book,,,
"Srihadi: poetry without words",,"Suwarno Wisetrotomo; Farida Srihadi",,,"The Lontar Foundation",1,2005,,,9789799531261,,I2,Art,,Book,,,"Amanah Lontar"
"Stadt der Architektur, Architektur der Stadt. Berlin 1900 - 2000",,,,,Nicolai,,2000,,3875840178,9783875840179,,J2,Unknown,,Book,,,
"State of Indonesian Cities",,,"Nana Rukmana D.W.",,"Kementerian Pekerjaan Umum Direktorat Jenderal Penataan Ruang",1,2010,,,9786029701029,,F3,Urbanism,,Book,,,
"Statistical Yearbook 1972",UNESCO,,,,UNESCO,,1974,,923001110X,9789230011109,,G3,Unknown,,Book,,,
"Steel, Structure, and Architecture: A Survey of the Material and Its Applications","Arne Petter Eggen; Bjorn Normann Sandaker",,,,"Whitney Library of Design",,1995,,0823050203,9780823050208,,I3,Unknown,,Book,"Norwegians Eggen, an architect, and Sandaker, an engineer, sample some of the applications of steel in architecture, engineering, industrial design, and art during the 19th and 20th centuries, and discuss the material's properties, production methods, dimensioning, rust prevention and other surface treatments, joining methods, and combinations of steel with other materials such as wood and fabric. Highly illustrated with black-and-white photographs and drawings. Translated from Stal, Striktur og arkitektur , published by J.W. Cappelens, Forlag in 1995. Annotation copyright Book News, Inc. Portland, Or. - from Amzon","Architecture, Structural, Study & Teaching, Technology",
"Stiker Kota","Ugeng T. Moetidjo; Ardi Yunanto; Ade Darmawan; Mirwan Andan",,,,"Ruang Rupa",1,2008,,,9789791906906,,F1,Urbanism,,Book,,,
Stone,,,,,"George Town World Heritage Incorporated",3rd,2014,,,,,A1,Architecture,,Publication,,Architecture,"Introduction to Heritage Building Materials"
"Strategic Review",,,,,,"Vol. 1 No. 2",2011,,,,,E1,,,Journal,,,
"Strategic Review",,,,,,"Vol. 1 No. 1",2011,,,,,B2,,,Journal,,,
"Streamlined Life-Cycle Assessment","Thomas Graedel",,,,Prentice-Hall,,,,,,,F3,Ecology,,Book,,,
"Struktur Bahasa Jawa Kuna","L. Mardiwarsito; Harimurti Kridalaksana",,,,"Komunitas Bambu",,,,,9782855394879,,I2,,,Book,,,
"Students go Anti Corruption",,,,,"Masyarakat Transparansi Indonesia",,2011,,,,,B3,Law,,Book,,,
"Studi Hukum Kritis: Dari Modern, Posmodern hingga Posmarxis","Awaludin Marwan",,,,"Satjipto Rahardjo Institute",,2012,,,,,G1,,,Book,,,
"Studi Hukum Kritis: dari Modern, Posmodern Hingga Posmarxis",,,,,"Thafa Media",,2012,,,,,C2,Law,,Book,,,
"Studi Hukum Kritis: dari Modern, Posmodern hingga Posmarxis","Awaludin Marwan",,,,"Satjipto Rahardjo Institute",1,2012,,9793931949,,,G1,Law,,Book,,,
"Studi Industri Kreatif Indonesia 2007",,,,,"Departemen Perdagangan Republik Indonesia",,2007,,,,,C1,,,Publication,,,
"Studi Tata Kelola Proses Legislasi","Tim Peneliti PSHK",,,,"Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)",,2008,,,,,B2,,,Book,,,
"Suara guru",,,,,"Pustaka Jaya",1,1996,,9794190632,,,Marco's,Literature,,Book,,,
"Suara guru",Kahlil,,,,"Pustaka Jaya",1,1996,,,,,I1,Literature,,Book,,,
"Suka-Duka Ibu Fatmawati Sukarno: seperti diceritakan kepada Kadjat Adra'i","Kadjat Adra'i",,,,"Yayasan Bung Karno",,2008,,,9789799657343,,C2,,,Book,,,
"Sukarno: A Political Biography","John David Legge",,,,"Penguin Books Ltd",,1973,,0140214097,9780140214093,,G1,Unknown,,Book,"Sukarno was one of the great charismatic leaders of the post-war world. To some he was the architect of his nation, to others a flamboyant and extravagant dictator. - from Amzon",,
"Sultan Suriansyah. Pioner Dakwah Islam di Tanah Banjar","Ahmad Barjie B",,,,"Pustaka Banua",1,2017,,,9786029864687,,B2,History,,Book,,,
"Sumbangan Pemikiran untuk jakarta",,,,,,,,,,,,E3,Urbanism,,Book,,,
"Summary of Land Tenure Research Findings in Jakarta",,,,,"Mercy Corps",,2008,,,,,H2,,,Publication,,,
"Sungai, Kampung, dan Kota",,,,,,,,,,9786026751621,,D2,,,Book,,,
SuperFreakonomics,"Steven D. Levitt; Stephen J. Dubner",,,,"Allen Lane","Open market ed",2017,,0713999918,9780713999914,,H3,Unknown,,Book,,"Business & Money, Popular Culture",
"Supports: an alternative to mass housing","N. J Habraken",,,,"Architectural Press",,1972,,0851396259,9780851396255,,J1,Unknown,,Book,,,
"Surat Batak: Sejarah Perkembangan Tulisan Batak Berikut Pedoman Menulis Aksara Batak dan Cap Si Singamangaraja XII","Uli Kozok",,,,"Kepustakaan Populer Gramedia",,2009,,,9789799101532,,I2,,,Book,,,
"surat dari dan untuk pemimpin",,,,,"PT Tempo Inti Media Harian",2,2015,,,9786021960714,,,humanity,,Book,,,
"Suryo Kinasih. The Beloved Suryo Wardhoyo Prawiroatmodjo","Eka Budianta",,,,"Eugenia Learning Center",,2013,,,9786021770320,,B2,,,Book,,,
"Sustainability by Design: A Subversive Strategy for Transforming Our Consumer Culture","John R. Ehrenfeld",,,,"Yale University Press",,2008,,0300137494,9780300137491,,I1,Unknown,,Book,"<div><div><P style=""MARGIN: 0in 0in 0pt"">The developed world, increasingly aware of inconvenient truths” about global warming and sustainability, is turning its attention to possible remedieseco-efficiency, sustainable development, and corporate social responsibility, among others. But such measures are mere Band-Aids, and they may actually do more harm than good, says John Ehrenfeld, a pioneer in the field of industrial ecology. In this deeply considered book, Ehrenfeld challenges conventional understandings of solving” environmental problems and offers a radically new set of strategies to attain sustainability.</P><P style=""MARGIN: 0in 0in 0pt""> </P><P style=""MARGIN: 0in 0in 0pt"">The book is founded upon this new definition: sustainability is the possibility that humans and other life will flourish on Earth forever. There are obstacles to this hopeful vision, however, and overcoming them will require us to transform our behavior, both individually and collectively. Ehrenfeld identifies problematic cultural attributessuch as the unending consumption that characterizes modern lifeand outlines practical steps toward developing sustainability as a mindset. By focusing on the being” mode of human existence rather than on the unsustainable having” mode we cling to now, he asserts, a sustainable world is within our reach.</P></div></div> - from Amzon","Environmental Economics, Sustainable Development, Ecology, Environmental Science, Conservation, Environmentalism",
"Sustainable Construction: Green Building Design and Delivery, Second Edition","Charles J. Kibert",,,,Wiley,2,2007,,0470114215,9780470114216,,J2,Unknown,,Book,"Reflecting the latest developments in the green building movement, and updated to include coverage of LEED 2009,<i>Sustainable Construction: Green Building Design and Delivery, Second Edition</i> guides construction and design professionals through the process of developing commercial and institutional high-performance green buildings in today's marketplace. <p>In this revised edition, Charles Kibert delivers a detailed, and passionate, overview of the entire process of green building, covering the theory, history, state of the industry, and best practices in green building. Kibert uses not only the dominant LEED assessment system, but includes such newer ones as Green Globes and several noteworthy building assessment systems from other countries. Sections introduce the background of the green building movement and walk you through such aspects as the background of high-performance green building design, green-building assessment, the green building process, and ecological design.</p> <p>Broad enough to cover the needs of faculty and students in architecture, engineering, landscape architecture, interior design, and construction management, yet focused enough to serve as a reference for building owners and buyers of construction services, <i>Sustainable Construction</i> is a comprehensive look at an emerging process that is environmentally sounds while making good economic sense.</p> <p>Content from this book is available as two online continuing professional education courses at http://www.wiley.com/WileyCDA/Section/id-320255.html#life_cycle_assessment and http://www.wiley.com/WileyCDA/Section/id-320255.html#green_building.  WileyCPE courses are available on demand, 24 hours a day, and are approved by the American Institute of Architects.</p> - from Amzon","Buildings, History, Project Planning & Management, Design & Construction, Environmental, Architecture, Construction, Environmental Engineering, Architecture",
"Sustainable Development and Integrated Appraisal In A Developing World","Norman Lee; Colin Kirkpatrick",,,,"Edward Elgar Pub",,2000,,1840641622,,,F3,Urbanism,,Book,,,
"Sustainable Development: Improving Livelihoods for Maasai Women in Tanzania. Enhancing Women`s Equality in Lebanon",,,,,"Australian Volunteers International",,2013,,,,,G3,Ecology,,Publication,,,
"Sustainable Transport: A New Way Forward for Buenos Aires",,,,,ITDP,,2014,,,,,G3,Urbanism,,Publication,,,
"Sustainable Urban Development: Liveable, green and connected - working together to create tomorrow's cities",,,,,"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH",,2016,,,,,G2,,,Book,,,
"Sustaining Economic Growth, Rural Livelihoods, and Environmental Benefit: Strategic Options for Forest Assistance in Indonesia",,,,,"The World Bank",,2006,,,,,G2,,,Book,,,
"Syahadat Cinta Rabi'ah Al-'Adawiyah","Muhamad Guntur Romli",,,,"Rehal Pustaka",1,2012,,,9786021945001,,H3,Islam,,Book,,,
"Syair Indera Bumaya Bagian III",,,Busri,,"Pustaka Banua",1,2015,,,9786029864366,,B2,Literature,,Book,,,
"Syair Pangeran Antasari","Selamat Bakumpai",,,,"Pustaka Banua",1,2017,,,9786029864663,,B2,Literature,,Book,,,
"Sydney, Australia",,,,,"Nucolorvue Productions, Pty, Ltd",1st,1994,,0858580462,9780858580466,,D1,Unknown,,Book,,"Australia & New Zealand, Sydney",
"Symposium and Phaedrus",Plato,,,,"Everyman's Library","First Edition",,,1857151941,9781857151947,,I1,Unknown,,Book,"<p> </p><p>It has been said that, after the Bible, Plato's dialogues are the most influential books in Western culture. Of the dialogues, the <i>Symposium</i> is the most delightful and accessible, requiring no special knowledge of ancient Greek philosophy or customs. Dramatizing a party in fifth-century B.C. Athens, the deceptively unassuming <i>Symposium</i> introduces—in the guise of convivial after-dinner conversation—profound ideas about the nature of love. In <i>Phaedrus,</i> here published together with the <i>Symposium,</i> Plato discusses the place of eloquence in expounding truth. In both dialogues, Socrates plays the leading role, by turns teasing, arguing, analyzing, joking, inspiring, and cajoling his followers into understanding ideas that have remained central to Western thought through the centuries. <br><br>(Book Jacket Status: Jacketed)</p> - from Amzon",,
"Takdir: Riwayat Pangeran Diponegoro (1785-1855)","Peter Carey",,,,"Penerbit Buku Kompas",,2014,,,9789797097998,,G2,,,Book,,,
"Tale of Two Cities (Abridged Books)","Charles Dickens",,,,"Prentice Hall Press",,,,0582530563,9780582530560,,E2,Unknown,,Book,,"Classics, Political, New, Used & Rental Textbooks",
"Tali Ikat. Fiber Connections",,,,,"The Cemeti Art Foundation",1,2002,,,,,L4,Art,,Book,,,
"Taman Medan Merdeka di Jakarta-Indonesia",,,,,"Dinas Tata Kota Pemerintah Daerah Khusus Ibukota Jakarta",,,,,,,G1,,,Publication,,,
"Taman Sang Nabi",Kahlil,,,,"PT Dunia Pustaka Jaya",1,1986,,,,,I1,Literature,,Book,,,
"Taman Wisata Alam Angke Kapuk DKI Jakarta",,,,,,,2002,,,,,F2,,,Book,,,
"Taman Wisata Alam Angke Kapuk DKI Jakarta",,,,,,,2002,,,,,F2,,,Book,,,
"Tamsil Zaman Citra: Bunga Rampai Pemenang Sayembara Kritik Sastra Dewan Kesenian Jakarta 2007","Arif Bagus Prasetyo; Manneke Budiman; Bandung Mawardi; Bramantio; Katrin Bandel; Tia Setiadi; Tirto Suwondo; Irsyad Ridho",,,,"Dewan Kesenian Jakarta",,2007,,,9789791601528,,C2,,,Book,,,
"Tanaman Hias Indonesia","Iin Hasim S.",,,,"Penebar Swadaya",,2009,,9790023774,9789790023772,,G2,,,Book,,,
"Tanggung Jawab Negara","Makmur Keliat; Agus Catur; Cut Nury Hikmah; Hana Hanifah; Rizki Yuniarini",,,,"Friedrich Ebert Stiftung",,2014,,,9786028866118,,C1,,,Book,,,
"Tanya Jawab Seputar Penyelenggaraan Penataan Ruang Daerah",,,,,"Direktorat Jenderal Penataan Ruang Kementerian Pekerjaan Umum",,2010,,,,,D1,,,Publication,,,
"Tapei Fine Arts Museum Collection Catalogue II : The Search for the Avant-Garde 1946-1969","Hsiao Chong-ray; Lin Yu-chun; Lin chiao-pi",,,,"Tapei Fine Arts Museum",,2017,,9860309973,9789860309973,,J1,Unknown,,Book,"Chronologically introducing the museum's huge collection, this volume focuses on artists and works from the period 1946-1969. It introduces each artist briefly and illustrates the tenor of their work with a single representative image with a color plate. - from Amzon",,
"Tata Kota Bekasi: Rupa Ruang Kota Kita",,,,,"Jurnal Tata Kota",,2014,,,,,B3,Urbanism,,Publication,,,
"Tata Ruang Untuk Kita","Elisa Sutanudjaja","Dian Tri Irawaty",,,"Rujak Center for Urban Studies",Pertama,2012,,,9789792537116,,"A 1","Urbanism, Indonesian City",,Publication,,"Urbanism, Tata ruang",
"Technopoles of the World: The Making of 21st Century Industrial Complexes","Manuel Castells",,,,Routledge,1,1994,,0415100151,9780415100151,,E1,Unknown,,Book,"Technopoles - planned centres for the promotion for high- technology industry - have become a key feature of national economic development worldwide. Created out of a technological revolution, the formation of the global economy and the emergence of a new form of economic production and management, they constitute the mines and foundries of the information age, redefining the conditions and processes of local and regional development. This book is the first systematic survey of technopoles in all manifestations: science parks, science cities, national technopoles and technobelt programmes. Detailed case studies, ranging from the Silicon Valley to Siberia and from the M4 Corridor to Taiwan, relate how global technopoles have developed, what each is striving to achieve and how well it is succeeding. <EM>Technopoles of the World</EM> distills the lessons learnt from the successes and failures, embracing a host of disparate concepts and a few myths, and offering guidelines for national, regional and local planners and developers worldwide. - from Amzon","Environmental Economics, Engineering, Regional, Technology, Politics & Government, Earth Sciences, Political Science",
"Tegang Bentang: Seratus Tahun Perspektif Arsitektural di Indonesia",,,,,"PT Gramedia Pustaka Utama",,2012,,,9789792234091,,F3,Architecture,,Publication,,,
"Tempat Terbaik di Dunia: Pengalaman Seorang Antropolog Tinggal di Kawasan Kumuh Jakarta","Roanne Van Voorst",,,,"Marjin Kiri",,2018,,,9789791260794,,H1,Philosophy,,Book,,,
"Tentang Demokrasi","Ali Sadikin",,,,"Pustaka Sinar Harapan",,1995,,9794163201,,,F2,humanity,,Book,,,Demokrasi
"Tenun Ikat Indonesia",,,,,"Penerbit Djambatan",1,1993,,9794280240,,,Marco's,Art,,Book,,,
"Tenun Ikat Indonesia","Dra. Suwati Kartiwa M.Sc.",,,,"Penerbit Djambatan",1,1993,,,,,K1,Art,,Book,,,
